product,url,category,price,amount,content,unit,vegan,vegetarian,nutriscore,carbs_100g,protein_100g,fat_100g
AH Biefstuk,https://www.ah.nl/producten/product/wi123833/ah-biefstuk,vlees-kip-vis-vega,6.37,275.0,Inhoud en gewicht275 GramPortiegrootte: 138 gramAantal porties: 2,g,False,False,A,0.0,23.0,1.8
AH Scharrel kipsateschnitzel 2 stuks,https://www.ah.nl/producten/product/wi531869/ah-scharrel-kipsateschnitzel-2-stuks,vlees-kip-vis-vega,2.99,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,C,21.0,11.0,12.0
Valess Schnitzel Gouda,https://www.ah.nl/producten/product/wi143547/valess-schnitzel-gouda,vlees-kip-vis-vega,3.29,180.0,Inhoud en gewicht2 Stuks. 180 GramPortiegrootte: Portie (90g),g,False,False,,16.7,14.3,9.6
AH Boerengehakt schnitzel,https://www.ah.nl/producten/product/wi418167/ah-boerengehakt-schnitzel,vlees-kip-vis-vega,2.99,251.26050420168067,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,D,18.0,16.0,19.0
Unox Preistamppot,https://www.ah.nl/producten/product/wi544670/unox-preistamppot,vlees-kip-vis-vega,8.36,,,,False,False,,,,
AH Maatjesharing met uitjes,https://www.ah.nl/producten/product/wi213328/ah-maatjesharing-met-uitjes,vlees-kip-vis-vega,2.29,,Inhoud en gewicht150 GramPortiegrootte: 100 gramAantal porties: 1.5,,False,False,D,1.0,17.0,8.5
AH Biologisch Runderchipolata,https://www.ah.nl/producten/product/wi436759/ah-biologisch-runderchipolata,vlees-kip-vis-vega,3.99,,Inhoud en gewicht215 GramPortiegrootte: 43 gramAantal porties: 5,,False,False,D,1.6,19.0,20.0
AH Biologisch Bio hoh gehakt 300 gram,https://www.ah.nl/producten/product/wi436762/ah-biologisch-bio-hoh-gehakt-300-gram,vlees-kip-vis-vega,3.99,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,C,0.3,20.0,16.0
Unox Rookworst extra mager,https://www.ah.nl/producten/product/wi367555/unox-rookworst-extra-mager,vlees-kip-vis-vega,3.19,275.0,Inhoud en gewicht275 GramAantal porties: 2,g,False,False,,1.9,15.0,13.0
AH Schouderkarbonade,https://www.ah.nl/producten/product/wi4041/ah-schouderkarbonade,vlees-kip-vis-vega,2.96,415.0,Inhoud en gewicht415 Gramminimum weight 250 gmaximum weight 600gPortiegrootte: 208 gramAantal porties: 2,g,False,False,B,0.0,19.0,12.0
AH Shoarma,https://www.ah.nl/producten/product/wi210607/ah-shoarma,vlees-kip-vis-vega,4.39,500.0,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 5,g,False,False,B,1.4,20.0,8.0
Vegetarische Slager Vegan kipstuckjes,https://www.ah.nl/producten/product/wi226705/vegetarische-slager-vegan-kipstuckjes,vlees-kip-vis-vega,3.85,160.0,Inhoud en gewicht160 GramAantal porties: 24,g,False,False,,2.9,21.0,3.6
AH Gelderse rookworst,https://www.ah.nl/producten/product/wi229797/ah-gelderse-rookworst,vlees-kip-vis-vega,1.26,250.0,Inhoud en gewicht250 GramPortiegrootte: 100 gramAantal porties: 2.5,g,False,False,E,0.5,16.0,25.0
AH Half-om-half gehakt,https://www.ah.nl/producten/product/wi169176/ah-half-om-half-gehakt,vlees-kip-vis-vega,6.49,1000.0,Inhoud en gewicht1 KilogramPortiegrootte: 100 gramAantal porties: 10,g,False,False,C,0.9,20.0,16.0
AH Biologisch Vegan tofu naturel,https://www.ah.nl/producten/product/wi54905/ah-biologisch-vegan-tofu-naturel,vlees-kip-vis-vega,1.27,375.0,Inhoud en gewicht375 GramUitlekgewicht: 325 GramPortiegrootte: 100 gramAantal porties: 3.5,g,True,True,A,1.0,13.0,7.6
AH Schnitzel Hongaarse stijl,https://www.ah.nl/producten/product/wi187605/ah-schnitzel-hongaarse-stijl,vlees-kip-vis-vega,3.99,300.0,Inhoud en gewicht300 GramPortiegrootte: 150 gramAantal porties: 2,g,False,False,C,16.0,15.0,3.8
Beyond Meat Plant-based burger,https://www.ah.nl/producten/product/wi457669/beyond-meat-plant-based-burger,vlees-kip-vis-vega,3.99,227.0,Inhoud en gewicht2 Stuks. 226 Gram2 x 113g,g,False,False,,3.5,17.0,19.0
Vegetarische Slager Vegan rul gehackt,https://www.ah.nl/producten/product/wi397381/vegetarische-slager-vegan-rul-gehackt,vlees-kip-vis-vega,2.89,200.0,Inhoud en gewicht200 GramAantal porties: 2,g,False,False,,2.9,24.0,0.5
Statesman Tonijn stukken in zonnebloemolie,https://www.ah.nl/producten/product/wi420788/statesman-tonijn-stukken-in-zonnebloemolie,vlees-kip-vis-vega,1.29,160.0,Inhoud en gewicht160 Gram,g,False,False,,0.1,23.5,9.5
AH Biologisch Rundergehakt,https://www.ah.nl/producten/product/wi436753/ah-biologisch-rundergehakt,vlees-kip-vis-vega,6.49,500.0,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 5,g,False,False,C,0.3,20.0,17.0
AH Runderbraadworst,https://www.ah.nl/producten/product/wi187588/ah-runderbraadworst,vlees-kip-vis-vega,3.99,403.030303030303,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,D,1.6,19.0,20.0
AH Biologisch Ontbijtspek,https://www.ah.nl/producten/product/wi220401/ah-biologisch-ontbijtspek,vlees-kip-vis-vega,2.79,100.0,Inhoud en gewicht0.1 Kilogram,g,False,False,,,,
AH Vegetarische kip stukjes,https://www.ah.nl/producten/product/wi437493/ah-vegetarische-kip-stukjes,vlees-kip-vis-vega,1.82,160.0,Inhoud en gewicht160 GramPortiegrootte: 100 gramAantal porties: 1.5,g,False,True,C,2.2,21.0,8.0
AH Kabeljauwhaasje portie,https://www.ah.nl/producten/product/wi237284/ah-kabeljauwhaasje-portie,vlees-kip-vis-vega,6.99,260.0,Inhoud en gewicht260 GramPortiegrootte: 130 gramAantal porties: 2,g,False,False,A,0.0,18.0,0.4
Vivera Krokante schnitzel,https://www.ah.nl/producten/product/wi397382/vivera-krokante-schnitzel,vlees-kip-vis-vega,3.09,200.0,Inhoud en gewicht200 GramAantal porties: 2,g,False,False,,17.0,14.0,7.4
AH Greenfields Beefburger jalapeno,https://www.ah.nl/producten/product/wi187593/ah-greenfields-beefburger-jalapeno,vlees-kip-vis-vega,3.99,250.94339622641508,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,D,2.2,19.0,20.0
AH Beefburger naturel 4-pack,https://www.ah.nl/producten/product/wi545535/ah-beefburger-naturel-4-pack,vlees-kip-vis-vega,15.96,,,,False,False,,,,
AH Verse worst,https://www.ah.nl/producten/product/wi199711/ah-verse-worst,vlees-kip-vis-vega,3.49,,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 5,,False,False,D,1.4,20.0,19.0
AH Greenfields Beefburger bacon,https://www.ah.nl/producten/product/wi483912/ah-greenfields-beefburger-bacon,vlees-kip-vis-vega,3.99,,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,,False,False,D,2.0,18.0,20.0
AH Boomstammetjes,https://www.ah.nl/producten/product/wi187610/ah-boomstammetjes,vlees-kip-vis-vega,2.99,404.054054054054,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,D,8.6,17.0,21.0
AH Veluwse rookworst fijn,https://www.ah.nl/producten/product/wi210296/ah-veluwse-rookworst-fijn,vlees-kip-vis-vega,3.49,280.0,Inhoud en gewicht280 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,E,1.1,14.0,35.0
AH Rundergehakt,https://www.ah.nl/producten/product/wi3954/ah-rundergehakt,vlees-kip-vis-vega,9.49,1000.0,Inhoud en gewicht1 KilogramPortiegrootte: 100 gramAantal porties: 10,g,False,False,C,0.9,20.0,16.0
AH Gerookte zalmfilet,https://www.ah.nl/producten/product/wi481414/ah-gerookte-zalmfilet,vlees-kip-vis-vega,1.99,50.0,Inhoud en gewicht50 GramPortiegrootte: 10 gramAantal porties: 5,g,False,False,D,0.0,23.0,11.0
Vegetarische Slager Mc2 burger,https://www.ah.nl/producten/product/wi226706/vegetarische-slager-mc2-burger,vlees-kip-vis-vega,2.79,160.34482758620692,Inhoud en gewicht2 Stuks. 160 GramAantal porties: 2,g,False,False,,8.1,17.0,8.2
AH Biologisch Hamburger 4-pack,https://www.ah.nl/producten/product/wi545810/ah-biologisch-hamburger-4-pack,vlees-kip-vis-vega,14.76,,,,False,False,,,,
AH Scharrel kip cordon bleu 4 stuks,https://www.ah.nl/producten/product/wi531866/ah-scharrel-kip-cordon-bleu-4-stuks,vlees-kip-vis-vega,5.99,500.0,Inhoud en gewicht500 GramPortiegrootte: 125 gramAantal porties: 4,g,False,False,B,14.0,13.0,11.0
AH Scharrel kipbraadworst,https://www.ah.nl/producten/product/wi531852/ah-scharrel-kipbraadworst,vlees-kip-vis-vega,3.49,300.0,Inhoud en gewicht300 GramPortiegrootte: 75 gramAantal porties: 4,g,False,False,D,3.6,15.0,14.0
Vegetarische Slager Bratwurst,https://www.ah.nl/producten/product/wi371073/vegetarische-slager-bratwurst,vlees-kip-vis-vega,2.65,160.0,Inhoud en gewicht2 Stuks. 160 GramAantal porties: 2,g,False,False,,5.3,15.0,7.8
AH Vissticks,https://www.ah.nl/producten/product/wi467462/ah-vissticks,vlees-kip-vis-vega,2.59,,Inhoud en gewicht450 GramPortiegrootte: 30 gramAantal porties: 15,,False,False,B,14.0,13.0,9.0
AH Mager rundergehakt,https://www.ah.nl/producten/product/wi187592/ah-mager-rundergehakt,vlees-kip-vis-vega,5.25,500.0,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 5,g,False,False,B,0.9,20.0,12.0
AH Scharrel kipgehakt,https://www.ah.nl/producten/product/wi436917/ah-scharrel-kipgehakt,vlees-kip-vis-vega,3.99,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,C,0.1,19.0,17.0
AH Kipreepjes,https://www.ah.nl/producten/product/wi132227/ah-kipreepjes,vlees-kip-vis-vega,3.29,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,False,D,3.2,17.0,2.5
AH Scharrel kipkluifjes,https://www.ah.nl/producten/product/wi531883/ah-scharrel-kipkluifjes,vlees-kip-vis-vega,3.29,500.0,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,B,0.0,17.0,15.0
AH Hamburger,https://www.ah.nl/producten/product/wi133413/ah-hamburger,vlees-kip-vis-vega,7.49,,Inhoud en gewicht720 GramPortiegrootte: 90 gramAantal porties: 8,,False,False,D,2.6,18.0,22.0
AH Vegetarische balletjes,https://www.ah.nl/producten/product/wi397372/ah-vegetarische-balletjes,vlees-kip-vis-vega,1.49,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,True,A,11.0,17.0,4.3
Vivera Shoarma,https://www.ah.nl/producten/product/wi502068/vivera-shoarma,vlees-kip-vis-vega,2.99,175.0,Inhoud en gewicht175 Gram,g,False,False,,5.8,15.0,7.2
AH Rookworst,https://www.ah.nl/producten/product/wi160782/ah-rookworst,vlees-kip-vis-vega,2.99,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,E,1.2,15.0,29.0
AH Pangasiusfilet,https://www.ah.nl/producten/product/wi231413/ah-pangasiusfilet,vlees-kip-vis-vega,5.19,350.0,Inhoud en gewicht330 GramAltijd 2 stuksPortiegrootte: 165 gramAantal porties: 2,g,False,False,A,0.0,16.0,1.5
AH Speklap  la minute naturel,https://www.ah.nl/producten/product/wi192858/ah-speklap-la-minute-naturel,vlees-kip-vis-vega,3.99,350.0,Inhoud en gewicht350 GramPortiegrootte: 70 gramAantal porties: 5,g,False,False,D,0.0,17.0,28.0
AH Gelderse rookworst,https://www.ah.nl/producten/product/wi229798/ah-gelderse-rookworst,vlees-kip-vis-vega,2.19,375.0,Inhoud en gewicht375 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,E,0.5,16.0,25.0
AH Scharrel krokante kipfilet burger,https://www.ah.nl/producten/product/wi531876/ah-scharrel-krokante-kipfilet-burger,vlees-kip-vis-vega,3.29,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,False,C,17.0,16.0,12.0
AH Zalmfilet op huid,https://www.ah.nl/producten/product/wi132045/ah-zalmfilet-op-huid,vlees-kip-vis-vega,6.79,310.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,A,0.0,19.0,16.0
AH Gerookte zalmfilet voordeel,https://www.ah.nl/producten/product/wi470617/ah-gerookte-zalmfilet-voordeel,vlees-kip-vis-vega,6.99,200.0,Inhoud en gewicht200 GramPortiegrootte: 25 gramAantal porties: 8,g,False,False,D,0.0,22.0,11.0
AH Makreelfilet graatloos,https://www.ah.nl/producten/product/wi365767/ah-makreelfilet-graatloos,vlees-kip-vis-vega,4.94,165.0,Inhoud en gewicht260 GramPortiegrootte: 100 gramAantal porties: 2.5,g,False,False,C,0.0,22.0,18.0
AH Varkenshaas,https://www.ah.nl/producten/product/wi232208/ah-varkenshaas,vlees-kip-vis-vega,7.1,479.7297297297297,Inhoud en gewicht450 GramPortiegrootte: 225 gramAantal porties: 2,g,False,False,A,0.0,22.0,1.7
AH Greenfields Runder sukadelappen,https://www.ah.nl/producten/product/wi3996/ah-greenfields-runder-sukadelappen,vlees-kip-vis-vega,9.99,700.0,Inhoud en gewicht520 GramPortiegrootte: 130 gramAantal porties: 4,g,False,False,A,0.0,21.0,5.5
AH Rundervink,https://www.ah.nl/producten/product/wi483908/ah-rundervink,vlees-kip-vis-vega,4.49,,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,,False,False,D,2.1,19.0,18.0
AH Vegan falafel,https://www.ah.nl/producten/product/wi437128/ah-vegan-falafel,vlees-kip-vis-vega,1.49,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,True,True,A,25.0,8.4,9.7
AH Varkens chipolataworstjes,https://www.ah.nl/producten/product/wi192045/ah-varkens-chipolataworstjes,vlees-kip-vis-vega,2.99,302.020202020202,Inhoud en gewicht300 GramPortiegrootte: 38 gramAantal porties: 8,g,False,False,D,1.5,19.0,18.0
AH Greenfields Magere runderlappen,https://www.ah.nl/producten/product/wi4002/ah-greenfields-magere-runderlappen,vlees-kip-vis-vega,10.29,720.0,Inhoud en gewicht510 GramPortiegrootte: 100 gramAantal porties: 5,g,False,False,A,0.0,21.0,2.0
Vivera Kaasschnitzel,https://www.ah.nl/producten/product/wi475112/vivera-kaasschnitzel,vlees-kip-vis-vega,2.75,150.0,Inhoud en gewicht2 Stuks. 150 Gram,g,False,False,,21.0,11.0,12.0
AH Hamburgers,https://www.ah.nl/producten/product/wi429053/ah-hamburgers,vlees-kip-vis-vega,2.59,840.0,Inhoud en gewicht840 GramPortiegrootte: 70 gramAantal porties: 12,g,False,False,D,7.6,13.0,14.0
AH Hamblokjes,https://www.ah.nl/producten/product/wi130251/ah-hamblokjes,vlees-kip-vis-vega,3.99,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,D,2.0,15.0,9.0
AH Scharrel kipburger 4 stuks,https://www.ah.nl/producten/product/wi531872/ah-scharrel-kipburger-4-stuks,vlees-kip-vis-vega,4.09,400.0,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,C,18.0,12.0,18.0
AH Scharrel kippenpoten 2 stuks,https://www.ah.nl/producten/product/wi165537/ah-scharrel-kippenpoten-2-stuks,vlees-kip-vis-vega,3.29,600.0,Inhoud en gewicht605 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,B,0.0,18.0,12.0
AH Braadworst,https://www.ah.nl/producten/product/wi169422/ah-braadworst,vlees-kip-vis-vega,2.29,,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,,False,False,D,1.4,20.0,19.0
Vegetarische Slager Vegetarische gehacktballetjes,https://www.ah.nl/producten/product/wi424905/vegetarische-slager-vegetarische-gehacktballetjes,vlees-kip-vis-vega,3.25,170.0,Inhoud en gewicht10 Stuks. 170 GramAantal porties: 2,g,False,False,,8.3,16.0,8.7
Princes Tonijnstukken in water,https://www.ah.nl/producten/product/wi496941/princes-tonijnstukken-in-water,vlees-kip-vis-vega,2.19,145.0,Inhoud en gewicht145 GramUitlekgewicht: 102 Gram,g,False,False,,0.1,23.5,0.5
AH Greenfields Hachee,https://www.ah.nl/producten/product/wi364883/ah-greenfields-hachee,vlees-kip-vis-vega,6.48,500.0,Inhoud en gewicht500 GramPortiegrootte: 100 gramAantal porties: 5,g,False,False,A,0.9,22.0,3.3
Unox Gelderse rookworst magnetron,https://www.ah.nl/producten/product/wi132903/unox-gelderse-rookworst-magnetron,vlees-kip-vis-vega,1.69,100.0,Inhoud en gewicht100 GramAantal porties: 1,g,False,False,,0.5,15.0,27.0
Garden Gourmet Gouda kaasschnitzel,https://www.ah.nl/producten/product/wi101186/garden-gourmet-gouda-kaasschnitzel,vlees-kip-vis-vega,3.35,180.0,Inhoud en gewicht180 GramPortiegrootte: Bij een portie van 1 schnitzel (90 g)Aantal porties: 2,g,False,True,B,15.0,16.0,10.0
AH Gehakt cordon bleu kaas en ham,https://www.ah.nl/producten/product/wi187580/ah-gehakt-cordon-bleu-kaas-en-ham,vlees-kip-vis-vega,2.59,281.5217391304348,Inhoud en gewicht275 GramPortiegrootte: 138 gramAantal porties: 2,g,False,False,D,14.0,17.0,20.0
AH Pannenkoekspek,https://www.ah.nl/producten/product/wi401061/ah-pannenkoekspek,vlees-kip-vis-vega,2.29,100.0,Inhoud en gewicht100 GramPortiegrootte: 15 gramAantal porties: 6,g,False,False,E,1.0,15.0,25.0
AH Catalaanse braadworst,https://www.ah.nl/producten/product/wi199777/ah-catalaanse-braadworst,vlees-kip-vis-vega,3.19,270.33898305084745,Inhoud en gewicht270 GramPortiegrootte: 45 gramAantal porties: 6,g,False,False,D,2.0,19.0,20.0
AH Biologisch Rookworst,https://www.ah.nl/producten/product/wi465748/ah-biologisch-rookworst,vlees-kip-vis-vega,3.69,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,E,3.0,15.0,20.0
AH Scharrel kipkaasschnitzel 2 stuks,https://www.ah.nl/producten/product/wi533086/ah-scharrel-kipkaasschnitzel-2-stuks,vlees-kip-vis-vega,2.99,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,False,D,13.0,15.0,15.0
AH Rundertartaar,https://www.ah.nl/producten/product/wi169173/ah-rundertartaar,vlees-kip-vis-vega,4.89,,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,,False,False,B,0.8,20.0,9.8
Iglo Vissticks,https://www.ah.nl/producten/product/wi191096/iglo-vissticks,vlees-kip-vis-vega,5.99,560.0,Inhoud en gewicht20 Stuks. 560 GramPortiegrootte: De waarden per portie worden verkregen door 140 g diepvries product (5 Vissticks) in de oven te bereiden. Een portie bevat 163 mg Omega 3 (DHA + EPA).Aantal porties: 4,g,False,False,B,21.0,12.0,9.1
AH Scharrel kip cordon bleu 2 stuks,https://www.ah.nl/producten/product/wi531867/ah-scharrel-kip-cordon-bleu-2-stuks,vlees-kip-vis-vega,3.49,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,B,14.0,13.0,11.0
AH Hamreepjes,https://www.ah.nl/producten/product/wi130254/ah-hamreepjes,vlees-kip-vis-vega,3.29,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,False,D,2.0,15.0,9.0
AH Nasi bamivlees,https://www.ah.nl/producten/product/wi238948/ah-nasi-bamivlees,vlees-kip-vis-vega,4.49,350.0,Inhoud en gewicht350 GramPortiegrootte: 100 gramAantal porties: 3.5,g,False,False,A,0.0,23.0,3.1
AH Scharrel kipfiletblokjes,https://www.ah.nl/producten/product/wi531835/ah-scharrel-kipfiletblokjes,vlees-kip-vis-vega,8.99,600.0,Inhoud en gewicht600 GramPortiegrootte: 100 gramAantal porties: 6,g,False,False,A,0.0,25.0,1.2
AH Biologisch Kipfilet 2 stuks,https://www.ah.nl/producten/product/wi57741/ah-biologisch-kipfilet-2-stuks,vlees-kip-vis-vega,9.49,320.0,Inhoud en gewicht280 GramPortiegrootte: 140 gramAantal porties: 2,g,False,False,A,0.0,24.0,0.8
Iglo Lekkerbekjes traditioneel,https://www.ah.nl/producten/product/wi237651/iglo-lekkerbekjes-traditioneel,vlees-kip-vis-vega,7.99,480.0,Inhoud en gewicht4 Stuks. 480 GramPortiegrootte: De waarden per portie worden verkregen door 120 g diepvries product (1 Lekkerbekje) in de oven te bereiden. Een portie bevat 137 mg Omega 3 (DHA + EPA).,g,False,False,B,19.0,11.0,13.0
AH Biologisch Biologische gerookte zalm,https://www.ah.nl/producten/product/wi211064/ah-biologisch-biologische-gerookte-zalm,vlees-kip-vis-vega,4.49,100.0,Inhoud en gewicht100 GramPortiegrootte: 10 gramAantal porties: 10,g,False,False,D,0.0,23.0,12.0
AH Warmgerookte zalmmoten,https://www.ah.nl/producten/product/wi173876/ah-warmgerookte-zalmmoten,vlees-kip-vis-vega,7.79,250.0,Inhoud en gewicht250 GramPortiegrootte: 100 gramAantal porties: 2.5,g,False,False,D,0.03,21.0,15.0
AH Ontbijtspek,https://www.ah.nl/producten/product/wi197425/ah-ontbijtspek,vlees-kip-vis-vega,1.49,85.0,Inhoud en gewicht85 GramPortiegrootte: 15 gramAantal porties: 6,g,False,False,E,0.5,15.0,27.0
AH Biologisch Rundergehakt balletjes bio,https://www.ah.nl/producten/product/wi436877/ah-biologisch-rundergehakt-balletjes-bio,vlees-kip-vis-vega,4.49,,Inhoud en gewicht300 GramPortiegrootte: 25 gramAantal porties: 12,,False,False,D,1.2,19.0,17.0
Garden Gourmet Spinazie kaas rondo,https://www.ah.nl/producten/product/wi412570/garden-gourmet-spinazie-kaas-rondo,vlees-kip-vis-vega,3.75,180.0,Inhoud en gewicht180 GramPortiegrootte: Bij een portie van 1 rondo (90 g)Aantal porties: 2,g,False,False,B,18.0,11.0,12.0
AH Lekkerbekjes,https://www.ah.nl/producten/product/wi799/ah-lekkerbekjes,vlees-kip-vis-vega,2.59,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,C,17.0,7.4,11.0
AH Sappige magere rookworst,https://www.ah.nl/producten/product/wi229795/ah-sappige-magere-rookworst,vlees-kip-vis-vega,1.26,250.0,Inhoud en gewicht250 GramPortiegrootte: 100 gramAantal porties: 2.5,g,False,False,D,0.5,16.0,19.0
AH Varkenshaas,https://www.ah.nl/producten/product/wi4044/ah-varkenshaas,vlees-kip-vis-vega,3.55,239.86486486486484,Inhoud en gewicht225 GramPortiegrootte: 225 gramAantal porties: 1,g,False,False,A,0.0,22.0,1.7
AH Gebakken kibbeling,https://www.ah.nl/producten/product/wi51337/ah-gebakken-kibbeling,vlees-kip-vis-vega,4.92,335.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,C,15.0,16.0,11.0
Vici Surimi sticks,https://www.ah.nl/producten/product/wi197716/vici-surimi-sticks,vlees-kip-vis-vega,0.99,250.0,Inhoud en gewicht250 Gram,g,False,False,,14.0,6.8,4.9
AH Scharrel gebraden kipflakes kebab,https://www.ah.nl/producten/product/wi477885/ah-scharrel-gebraden-kipflakes-kebab,vlees-kip-vis-vega,3.79,225.0,Inhoud en gewicht225 GramPortiegrootte: 100 gramAantal porties: 2.5,g,False,False,B,1.4,19.0,8.0
AH Biologisch Rundertartaar,https://www.ah.nl/producten/product/wi436754/ah-biologisch-rundertartaar,vlees-kip-vis-vega,3.99,,Inhoud en gewicht210 GramPortiegrootte: 105 gramAantal porties: 2,,False,False,A,0.3,20.0,4.9
AH Scharrel kipdijfiletreepjes shoarma,https://www.ah.nl/producten/product/wi533084/ah-scharrel-kipdijfiletreepjes-shoarma,vlees-kip-vis-vega,5.29,400.0,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,C,0.7,18.0,10.0
AH Scharrel gerookte kipfilet plakjes,https://www.ah.nl/producten/product/wi531864/ah-scharrel-gerookte-kipfilet-plakjes,vlees-kip-vis-vega,3.28,155.0,Inhoud en gewicht150 GramPortiegrootte: 100 gramAantal porties: 1.5,g,False,False,B,0.8,24.0,1.8
Princes Ansjovisfilets in olijfolie,https://www.ah.nl/producten/product/wi127282/princes-ansjovisfilets-in-olijfolie,vlees-kip-vis-vega,1.69,46.0,Inhoud en gewicht46 GramUitlekgewicht: 30 Gram,g,False,False,,0.1,23.0,10.0
Valess Schnitzel,https://www.ah.nl/producten/product/wi133171/valess-schnitzel,vlees-kip-vis-vega,3.19,180.0,Inhoud en gewicht2 Stuks. 180 GramPortiegrootte: Portie (90g),g,False,False,,15.9,11.0,7.4
AH Vegetarische kip stukjes,https://www.ah.nl/producten/product/wi482828/ah-vegetarische-kip-stukjes,vlees-kip-vis-vega,3.39,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,True,C,2.2,21.0,8.0
Vegetarische Slager Pasta Pesto,https://www.ah.nl/producten/product/wi545345/vegetarische-slager-pasta-pesto,vlees-kip-vis-vega,9.84,,,,False,False,,,,
AH Scharrel kipgehakt gekruid,https://www.ah.nl/producten/product/wi531853/ah-scharrel-kipgehakt-gekruid,vlees-kip-vis-vega,4.09,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,D,1.3,16.0,14.0
AH Biologisch Mager rundergehakt,https://www.ah.nl/producten/product/wi436750/ah-biologisch-mager-rundergehakt,vlees-kip-vis-vega,4.99,300.0,Inhoud en gewicht300 GramPortiegrootte: 100 gramAantal porties: 3,g,False,False,C,0.3,20.0,12.0
Beretta Pancetta blokjes,https://www.ah.nl/producten/product/wi465692/beretta-pancetta-blokjes,vlees-kip-vis-vega,2.19,100.0,Inhoud en gewicht2 Stuks. 100 Gram2 x 50 g,g,False,False,,0.5,18.0,31.0
AH Voor in de oven kipfilet pesto,https://www.ah.nl/producten/product/wi143245/ah-voor-in-de-oven-kipfilet-pesto,vlees-kip-vis-vega,6.4,390.0,Inhoud en gewicht400 GramPortiegrootte: 100 gramAantal porties: 4,g,False,False,C,1.0,21.0,11.0
AH Uitgebakken ontbijtspek,https://www.ah.nl/producten/product/wi386107/ah-uitgebakken-ontbijtspek,vlees-kip-vis-vega,2.79,80.0,Inhoud en gewicht80 GramPortiegrootte: 6 gramAantal porties: 13,g,False,False,E,0.5,35.0,35.0
AH Scharrel gerookte kipreepjes,https://www.ah.nl/producten/product/wi477573/ah-scharrel-gerookte-kipreepjes,vlees-kip-vis-vega,2.99,150.0,Inhoud en gewicht150 GramPortiegrootte: 100 gramAantal porties: 1.5,g,False,False,B,2.0,20.0,1.0
AH Scharrel kipburger 2 stuks,https://www.ah.nl/producten/product/wi531871/ah-scharrel-kipburger-2-stuks,vlees-kip-vis-vega,2.19,200.0,Inhoud en gewicht200 GramPortiegrootte: 100 gramAantal porties: 2,g,False,False,C,18.0,12.0,18.0
AH Pangasiusfilet tuinkruiden,https://www.ah.nl/producten/product/wi135532/ah-pangasiusfilet-tuinkruiden,vlees-kip-vis-vega,4.99,310.0,Inhoud en gewicht280 GramPortiegrootte: 140 gramAantal porties: 2,g,False,False,,6.5,13.0,15.0
